customer_id,customer_name,location,industry_type,account_manager
CUST00001,Phoenix Partners,New York,Finance,Robert Taylor
CUST00002,Prime Group,San Diego,Education,Maria Garcia
CUST00003,Prime Corp,Philadelphia,Construction,David Kim
CUST00004,Summit Solutions,Houston,Logistics,Sarah Johnson
CUST00005,Summit Group,Los Angeles,Technology,Michael Chen
CUST00006,Elite Group,Dallas,Logistics,Sarah Johnson
CUST00007,Apex Enterprises,Phoenix,Construction,Michael Chen
CUST00008,Global Corp,Philadelphia,Retail,Emma Williams
CUST00009,Elite Enterprises,Houston,Healthcare,James Rodriguez
CUST00010,Vertex Partners,San Antonio,Healthcare,Robert Taylor
CUST00011,Summit Group,Los Angeles,Manufacturing,Maria Garcia
CUST00012,Vertex Industries,San Diego,Healthcare,Michael Chen
CUST00013,Prime Industries,Austin,Education,Robert Taylor
CUST00014,Phoenix Solutions,San Antonio,Finance,Michael Chen
CUST00015,Tech Group,Dallas,Technology,Maria Garcia
CUST00016,Elite Corp,New York,Manufacturing,Emma Williams
CUST00017,Global Corp,San Antonio,Healthcare,James Rodriguez
CUST00018,Phoenix Industries,Houston,Construction,
CUST00019,Tech Corp,Phoenix,Technology,Lisa Anderson
CUST00020,Tech Industries,San Diego,Logistics,Sarah Johnson
CUST00021,Tech Solutions,San Antonio,Retail,Lisa Anderson
CUST00022,Vertex Solutions,Chicago,Education,Robert Taylor
CUST00023,Phoenix Group,San Antonio,Finance,Michael Chen
CUST00024,Vertex Industries,,Logistics,James Rodriguez
CUST00025,Elite Solutions,Austin,Logistics,Sarah Johnson
 CUST00026 ,Summit Corp,New York,Education,Emma Williams
CUST00027,Tech Solutions,Philadelphia,Manufacturing,Maria Garcia
CUST00028,Summit Corp,Dallas,Construction,David Kim
CUST00029,Phoenix Enterprises,San Antonio,Healthcare,Robert Taylor
CUST00030,Elite Enterprises,Phoenix,Education,Emma Williams
CUST00031,Prime Industries,New York,Finance,Sarah Johnson
CUST00032,Prime Solutions,Austin,Retail,James Rodriguez
CUST00033,Vertex Solutions,Phoenix,Construction,Maria Garcia
CUST00034,Summit Enterprises,San Antonio,Technology,David Kim
CUST00035,Vertex Solutions,Philadelphia,Logistics,David Kim
CUST00036,Prime Industries,Phoenix,Education,David Kim
CUST00037,Summit Solutions,Chicago,Education,Maria Garcia
CUST00038,Apex Solutions,San Antonio,Manufacturing,Sarah Johnson
CUST00039,Apex Industries,,Manufacturing,Emma Williams
CUST00040,Elite Solutions,Philadelphia,Healthcare,Sarah Johnson
CUST00041,Vertex Industries,San Diego,Technology,Emma Williams
CUST00042,Global Solutions,Phoenix,Retail,Robert Taylor
CUST00043,Prime Solutions,,Education,Robert Taylor
CUST00044,Vertex Partners,San Diego,Manufacturing,Maria Garcia
CUST00045,Prime Partners,,Retail,James Rodriguez
CUST00046,Vertex Solutions,Phoenix,Education,Sarah Johnson
CUST00047,Prime Corp,Phoenix,Healthcare,Michael Chen
CUST00048,Apex Group,San Antonio,Manufacturing,James Rodriguez
CUST00049,Apex Group,Phoenix,Manufacturing,Sarah Johnson
CUST00050,Global Group,Philadelphia,Finance,Emma Williams
CUST00051,Summit Corp,New York,Logistics,Maria Garcia
CUST00052 ,Summit Solutions,Houston,Technology,David Kim
CUST00053,Elite Group,New York,Finance,Emma Williams
CUST00054,Prime Corp,Los Angeles,Education,James Rodriguez
CUST00055,Elite Solutions,Chicago,Education,Michael Chen
CUST00056,Prime Group,Phoenix,Retail,Robert Taylor
CUST00057,Vertex Group,Phoenix,Retail,Robert Taylor
CUST00058,Summit Industries,Philadelphia,Logistics,Sarah Johnson
CUST00059 ,Summit Enterprises,Philadelphia,Education,Emma Williams
CUST00060,Elite Group,San Diego,Construction,Robert Taylor
CUST00061,Summit Solutions,Dallas,Manufacturing,Michael Chen
CUST00062,Summit Industries,New York,Healthcare,Maria Garcia
CUST00063,Vertex Partners,San Antonio,Technology,Michael Chen
CUST00064,Apex Solutions,Dallas,Construction,Lisa Anderson
CUST00065,Prime Group,New York,Healthcare ,Robert Taylor
CUST00066,Summit Group,New York,Manufacturing,Robert Taylor
CUST00067,Elite Industries,San Antonio,,Lisa Anderson
CUST00068,Tech Group,San Antonio,Finance,Michael Chen
CUST00069,Phoenix Industries,Los Angeles,Healthcare,Maria Garcia
CUST00070,Phoenix Corp,Austin,Manufacturing,Robert Taylor
CUST00071,Phoenix Group,Phoenix,Education,David Kim
CUST00072,Global Corp,Philadelphia,Healthcare,Michael Chen
CUST00073,Phoenix Industries,San Antonio,Finance,Lisa Anderson
CUST00074,Summit Enterprises,, Manufacturing,Robert Taylor
CUST00075,Vertex Group,San Antonio,Manufacturing,James Rodriguez
CUST00076,Global Corp,San Antonio,Finance,Emma Williams
CUST00077,Vertex Corp,Dallas,Finance ,Michael Chen
CUST00078,Vertex Group,New York,Retail,David Kim
CUST00079,Phoenix Partners,Phoenix,Technology,David Kim
CUST00080,Phoenix Industries,New York,Retail,Robert Taylor
CUST00081,Elite Enterprises,Phoenix,Construction,Robert Taylor
CUST00082,Prime Enterprises,Austin,,Sarah Johnson
CUST00083,Vertex Corp,New York,Manufacturing,James Rodriguez
CUST00084,Summit Corp,Austin,Healthcare,Sarah Johnson
CUST00085,Elite Group,Houston,Manufacturing,David Kim
CUST00086,Prime Enterprises,Houston,Healthcare,
CUST00087,Vertex Enterprises,New York,Healthcare,Sarah Johnson
CUST00088,Vertex Solutions,Phoenix,Technology,Emma Williams
CUST00089,Summit Industries,Houston,Education,Maria Garcia
CUST00090,Apex Enterprises,Austin,Retail,Maria Garcia
 CUST00091,Vertex Corp,,Finance,Emma Williams
CUST00092,Prime Industries,Houston,Education,David Kim
CUST00093,Global Partners,Los Angeles,Healthcare,Maria Garcia
CUST00094,Prime Solutions,Houston,Technology,Lisa Anderson
CUST00095,Vertex Industries,Houston,Healthcare,James Rodriguez
CUST00096,Phoenix Partners,Philadelphia,Retail,
CUST00097,Global Enterprises,San Antonio,Healthcare,Sarah Johnson
CUST00098,Apex Corp,New York,Retail,Robert Taylor
CUST00099,Global Industries,Houston,Logistics,Michael Chen
CUST00100,Elite Solutions,Philadelphia,Finance ,David Kim
CUST00101,Prime Industries,Los Angeles,Finance,James Rodriguez
CUST00102,Vertex Solutions,Houston,Education,David Kim
CUST00103,Global Enterprises,Chicago,Logistics,James Rodriguez
CUST00104,Summit Group,Chicago,Manufacturing,Michael Chen
CUST00105,Elite Solutions,Dallas,Finance,Michael Chen
CUST00106,Elite Enterprises,San Diego,Retail,James Rodriguez
CUST00107,Tech Solutions,Houston,Construction,
CUST00108,Elite Enterprises,Los Angeles,Technology,Maria Garcia
CUST00109,Phoenix Partners,Philadelphia,Construction,Maria Garcia
CUST00110,Tech Enterprises,Los Angeles,Education,James Rodriguez
CUST00111,Tech Group,San Antonio,Manufacturing,
CUST00112,Summit Partners,Los Angeles,Construction,Robert Taylor
