sku,product_name,category,price,supplier_id
ITM00001,Phone Mount,Accessories,146.14,SUP018
SKU00002,Multimeter Digital,Tools,465.87,SUP022
PRO00003,Accounting Software Basic,Software,970.67,SUP008
PROD00004,Circuit Board PCB,Components,933.5,SUP011
PRO00005,Multimeter Digital,Tools,64.86,SUP015
PROD00006,LED Diode Red,Components,321.0,SUP025
PRO00007,Laptop Stand Deluxe,Electronics,227.6,SUP020
PROD00008,Database Management Tool,Software,73.9,SUP009
SKU00009,Sensor Module,Components,250.03,SUP012
PRO00010,USB Flash Drive 64GB,Electronics,254.95,SUP005
ITM00011,HDMI Cable 2m,Electronics,313.33,SUP030
PRO00012,Circuit Board PCB,Components,664.15,SUP013
PRO00013,Video Editing Software,Software,655.67,SUP020
PRO00014,Stepper Motor,Components,211.0,SUP018
ITM00015,Transistor NPN Pro,Components,156.9,SUP020
PROD00016,Mounting Plate,Hardware,924.28,SUP004
PRO00017,Resistor Pack 1K Standard, Components ,495.99,SUP007
PROD00018,Screen Protector,Accessories,79.95,SUP010
PRO00019,Project Management Suite,Software,71.2,SUP006
SKU00020,Steel Bolt M8,Hardware,714.65,SUP022
ITM00021,Laptop Stand,Electronics,517.34,SUP028
PRO00022,IC Chip 555 Timer,Components,65.97,SUP004
ITM00023,Cloud Storage 1TB Plus,Software,689.72,SUP022
PROD00024,Velcro Strips Standard,Accessories,144.52,SUP018
ITM00025,Anti-Glare Filter,Accessories,507.16,SUP018
SKU00026,Office Productivity Pack Standard,Software,762.23,SUP013
PRO00027,Steel Bolt M8,Hardware,479.45,SUP028
PRO00028,Circuit Board PCB,Components,344.01,SUP001
PRO00029,Wire Stripper,Tools,193.77,SUP003
PRO00030,Stepper Motor,Components,923.53,SUP013
SKU00031,Phone Charger,Electronics ,156.8,
PRO00032,Anti-Glare Filter,Accessories,658.22,SUP008
ITM00033,Transistor NPN,Components,51.47,SUP007
ITM00034,Phone Charger,Electronics,721.22,SUP017
SKU00035,Backup Solution Plus,Software,120.62,SUP027
ITM00036,Brass Fitting,Hardware,373.77,
PRO00037,Relay Module 5V,Components,,SUP002
PRO00038,Database Management Tool Plus,Software,338.43,SUP030
PRO00039,Aluminum Bracket,Hardware,224.24,SUP019
ITM00040,Soldering Iron 60W,Tools,936.9,
SKU00041,HDMI Cable 2m,Electronics,47.2,SUP016
PRO00042,Team Collaboration Tool, Software,,SUP010
ITM00043,Phone Charger Basic,Electronics,116.43,SUP007
PROD00044,Design Software License,Software,960.77,SUP017
PROD00045,Monitor Riser,Accessories,980.08,SUP012
SKU00046,Stepper Motor Basic,Components,61.18,SUP025
PRO00047,Phone Charger,Electronics,228.4,SUP011
PROD00048,Hammer 16oz,Tools,120.63,SUP029
PROD00049,Circuit Board PCB Plus,Components,296.77,SUP009
ITM00050,Corner Brace,Hardware,,SUP012
PROD00051,Brass Fitting,Hardware,693.06,SUP017
PRO00052,Voltage Regulator,Components ,673.94,SUP029
PRO00053,LED Diode Red Pro,Components,797.06,SUP010
SKU00054,Stepper Motor,Components,,SUP025
PRO00055,Screwdriver Set 12pc,Tools,237.33,SUP027
PROD00056,Wireless Mouse,Electronics,985.34,SUP030
SKU00057,Desk Mat Large,Accessories,,SUP020
ITM00058,Carrying Case,Accessories,117.69,SUP012
PROD00059,Sealant Silicone,Materials,239.85,SUP030
PRO00060,Sealant Silicone,Materials,839.83,SUP019
